,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
0,2012,04/2012,TBU,TBU-L1,0002,2,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,0.20111,1.0,0.20111
1,2012,07/2012,TBU,TBU-L1,0002,2,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,2.85417,1.0,2.85417
2,2012,11/2012,TBU,TBU-L1,0002,2,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C444,DEFEITO NA CHAVE,0.195,1.0,0.195
3,2013,07/2013,TBU,TBU-L1,0002,2,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,0.61028,1.0,0.61028
4,2013,08/2013,TBU,TBU-L1,0002,2,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,1.14528,1.0,1.14528
5,2014,07/2014,TBU,TBU-L1,0002,2,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C181,PARA-RAIOS CURTO-CIR,4.9,1.0,4.9
6,2012,04/2012,TBU,TBU-L1,0005,3,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,3.77972,1.0,3.77972
7,2013,07/2013,TBU,TBU-L1,0005,3,45.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,0.91722,1.0,0.91722
8,2012,08/2012,TBU,TBU-L6,5458,4,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,13.48428,37.0,0.36444
9,2013,09/2013,TBU,TBU-L6,5458,4,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,1.85,37.0,0.05
10,2012,04/2012,MGB,MGB-L4,8887,8,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,123.69324,83.0,1.49028
11,2012,05/2012,MGB,MGB-L4,8887,8,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,105.2025,83.0,1.2675
12,2013,06/2013,MGB,MGB-L4,8887,8,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,112.05,83.0,1.3499999999999999
13,2013,07/2013,MGB,MGB-L4,8887,8,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,132.24639,83.0,1.59333
14,2014,10/2014,MGB,MGB-L4,69184,8,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,90.81324,84.0,1.08111
15,2012,04/2012,TBU,TBU-L1,13592,9,30.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,1.39028,1.0,1.39028
16,2013,07/2013,TBU,TBU-L1,13592,9,30.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,0.91722,1.0,0.91722
17,2012,05/2012,TBU,TBU-L6,0015,15,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,29.33312,64.0,0.45833
18,2012,08/2012,TBU,TBU-L6,0015,15,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,228.17792,64.0,3.56528
19,2013,09/2013,TBU,TBU-L6,0015,15,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,3.15,63.0,0.049999999999999996
20,2012,05/2012,TBU,TBU-L6,0016,16,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,0.45833,1.0,0.45833
21,2012,08/2012,TBU,TBU-L6,0016,16,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,3.56528,1.0,3.56528
22,2013,09/2013,TBU,TBU-L6,0016,16,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,0.05,1.0,0.05
